id,title,property_type,price_eur,city,neighborhood,lat,lon,size_sqm,rooms,year_built,floor,max_floor,parking,heating,dist_to_metro_min,dist_to_park_min,description,source_url,region,neighborhood_real
294993753,sale,apartment,115000,Bucuresti,Sectorul 4,44.39319,26.1163,53.0,2.0,,1.0,,unknown,central_heating,,,"Apartament de 2 camere, 53 mp utili (60 mp total), situat la etajul 1 din 7, într-un imobil solid construit în 1959, pe una dintre cele mai căutate străzi din Centrul Istoric – Gabroveni 64. Locație premium: la doi pași de Hanul lui Manuc, Piața Unirii, Lipscani, restaurantele și cafenelele celebre din zonă. Acces rapid către metrou Unirii și mijloace de transport. Se vinde mobilat și utilat complet, exact ca în poze Centrala proprie 2 aparate de aer condiționat Mașină de spălat vase Bloc cu structură solidă și vecinătate selectă Ideal pentru locuire personală sau investiție în regim hotelier / Airbnb. Zona are cerere ridicată pe termen lung și randament excelent la închiriere. Preț: 115.000 € Mesaj WhatsApp la numărul 07******00 Apel la numărul 07******05",https://www.olx.ro/d/oferta/2-camere-centru-vechi-strada-gabroveni-metrou-unirii-IDjXLlL.html,Berceni,Sector 4
295492591,sale,apartment,109000,Bucuresti,Sectorul 1,44.47991,26.06407,58.0,2.0,,0.0,,unknown,unknown,5.0,,"Descoperă un apartament spațios și luminos, cu o suprafață utilă de 58 mp, situat într-o zonă aflată în plină dezvoltare urbană – la doar 5 minute de mers pe jos până la stația de metrou Jiului. Apartamentul se vinde complet mobilat și utilat. Localizare excelentă (Șoseaua Chitilei 48) •	Tramvai chiar în fața blocului •	Acces rapid către Piața Presei, Băneasa, Victoriei •	Magazine la doar câteva minute: Mega Image, Kaufland, Lidl •	Școli, grădinițe și parcuri în apropiere Pentru detalii și vizionări, te rog să mă contactezi la 07*********85",https://www.olx.ro/d/oferta/apartament-2-camere-58-mp-utili-5-min-metrou-jiului-proprietar-IDjZR7x.html,Băneasa,Sector 1
289633318,unknown,apartment,69900,Bucuresti,Sectorul 6,44.4429,26.01849,50.0,2.0,,5.0,,unknown,central_heating,,,"Ansamblul CRINULUI REZIDENTIAL 6 este situat in partea de vest a Bucurestiului, zona , Strada Apeductului Nr. 101 si se adreseaza persoanelor care isi doresc o casa noua cu un standard de executie ridicat si finisaje de cea mai buna calitate. Apartamentele sunt luminoase, spatioase si au dotari complete (centrala proprie, ferestre termopan, usa metalica, obiecte sanitare, faianta, gresie, parchet, etc.). Ansamblul CRINULUI REZIDENTIAL 6 reuneste intr-un mod armonios luxul cu utilul la un pret de achizitie accesibil. Imobilele noastre au un regim de inaltime redus, format din P+5E+POD cladirile respectand toate normele de constructie in vigoare atat din punct de vedere seismic cat si din punct de vedere al izolarii termice si fonice.",https://www.olx.ro/d/oferta/apartament-2-camere-decomandat-oferta-promotionala-IDjBgR8.html,Militari,Militari
295005018,sale,apartment,119000,Bucuresti,Sectorul 6,44.43377,26.009928,54.0,2.0,1977.0,3.0,,unknown,unknown,,,"Direct proprietar, vând apartament 2 camere semidecomandat, et 3/10, bloc construit in 1980 (conform certicat energetic) Apartamentul are o suprafață de 54 mp, o poziționare foarte bună, pe Bd. Iuliu Maniu, dar cu vedere spre spate. Se află situat  între Păcii și Gorjului (Bulevardul Iuliu Maniu, Nr. 75), la câteva minute de oricare dintre cele 2 stații de metrou și la un minut de stația STB. Este un apartament spațios, luminos, orientat spre sud, are clasă energetică B, blocul urmând să fie reabilitat curând. Se vinde utilat și mobilat complet, așa cum se vede in fotografii. Preț 119.000 Euro, ușor negociabil. Nu platim comision agentiilor.",https://www.olx.ro/d/oferta/apartament-2-camere-gorjului-IDjXOhs.html,,
294602110,sale,apartment,109900,Bucuresti,Sectorul 1,44.47991,26.06407,55.0,2.0,,6.0,,unknown,unknown,3.0,,"Proprietar!! Fara risc!!!’ Fara urgenta!!! Bloc anvelopat si retras! Scara curata si mare Exclus agenție! Apartament complet renovat – 2 camere, 54.2 mp, Str. Cașin / Metrou 1 Mai Vă propunem spre vânzare un apartament complet renovat integral, situat într-o zonă excelentă – Strada Cașin, la doar câteva minute de Metrou 1 Mai. Apartamentul are o suprafață totală de 54.2 mp, este amplasat la etajul 6 al unui imobil solid și beneficiază de un balcon foarte mare, ideal pentru relaxare sau amenajare ca spațiu suplimentar de zi. Detalii renovare: •	Instalație electrică și sanitară complet nouă •	Pereți decopertați și refăcuți integral •	Balcon refăcut de la zero, izolat și finisat modern •	Finisaje moderne, materiale de calitate, atenție la detalii •	Totul este nou, curat și pregătit pentru mutare imediată Avantaje: •	Foarte luminos – orientare excelentă și ferestre mari •	Zonă liniștită, cu acces rapid la transport public, magazine, școli și parcuri •	Bloc bine întreținut și vecini civilizați Localizare: Strada Cașin – la 3 minute de Metrou 1 Mai Acest apartament este alegerea ideală pentru cei care își doresc o locuință modernă, complet renovată, într-o zonă centrală și bine conectată a orașului.",https://www.olx.ro/d/oferta/apartament-2-camere-top-grivita-1mai-domenii-proprietar-IDjV7sV.html,,
294974484,sale,apartment,159500,Bucuresti,Sectorul 6,44.4429,26.01849,87.0,4.0,1977.0,8.0,,unknown,unknown,9.0,,"Vând apartament 4 camere – Crângași, București –  centrală proprie, bloc reabilitat 2025 Apartament cu 4 camere în București, sector 6, zona Crângași, situat la 9 minute de mers pe jos până la metrou Crângași, aproape de piață, magazine, școli și mijloace de transport. - Suprafață utilă: 87 mp - Balcon: 4,93 mp - Logie: 4,08 mp - Compartimentare: 4 camere, bucătărie, 2 băi (baie + WC serviciu) , 2 Balcoane,  cămară, debara, oficiu, vestibul - Etaj: 8/8 - Încălzire: centrală proprie - An construcție: 1984 - Bloc reabilitat termic în 2025 - Lifturi noi schimbate în 2025 - Are Carte Funciară și este intabulat Pentru informații suplimentare mă puteți contacta telefonic sau pe WhatsApp la același număr.",https://www.olx.ro/d/oferta/apartament-4-camere-crangasi-reabilitat-2025-centrala-IDjXGkY.html,,
295009202,sale,spatiu comercial,2300,Bucuresti,Sectorul 1,44.47991,26.06407,35.0,,,,,unknown,unknown,,,"De Închiriat - Ateneul Român - 35 mp + 15 mp + terasă 30 mp, în centrul vechi nou, una dintre cele mai prestigioase zone cu terase, restaurante, cofetării de pe strada Benjamin Franklin nr. 9 Părintele Constituției Americane având utilități proprii. Pretul chiriei este de 2300 euro( persoană fizică) 07******19",https://www.olx.ro/d/oferta/ateneul-roman-spatiu-comercial-ultracentral-35-15-mp-IDjXPmV.html,,
288952662,sale,house,68000,Bucuresti,Sectorul 5,44.39928,26.05618,216.0,3.0,,,,unknown,unknown,,,Se vinde teren la curte de 211 mp situat pe Sos București Magurele str Pitești in sector 5 cu 2 imobile dintre care unul în care se poate locuii.Casa dispune de toate utilitățile (gaze apa și curent ). Pt alte detalii va rog să sunați !,https://www.olx.ro/d/oferta/casa-la-curte-211mp-sector-5-IDjypMO.html,,
294672388,sale,apartment,850,Bucuresti,Sectorul 5,44.39928,26.05618,84.0,2.0,,5.0,,unknown,unknown,,,"Inchiriere apartament tip Duplex 2 camere Serena  - Ansamblu Rezidential Apartamentul este situat la ultimele 2 etaje 5 si 6 . Imobil ce a fost construit in anul 2018, apartamentul dispune de o terasa generoasa. Spatiile sunt orientate adecvat, cu o separare functionala clara intre zona de zi si zona de noapte. Compartimentarea apartamentului este decomandata cu o suprafata de aproximativ 84 mp, acesta este format din 1 living room, 1 dormitor, 2 grupuri sanitare pozitionate unul pentru zona de zi (living room) si unul pe zona de noapte (dormitor), terasa de aproximativ 6 mp. Apartamentul se inchiriaza mobilat complet si dotat cu: - Gresie, faianta, parchet; - Contorizat electric, apa, caldura, conexiune cablu TV si internet; - Living roomul este mobilat pe stilul minimalist si dispune de un coltar extensibil din piele - Dormitorul de asemenea este mobilat cu pat matrimonial si dulap de tip dressing (acesta avand deja o incapere special amenajata); - Bucatarie mobilata si utilata, inclusiv masina de spalat vase, hota, cuptor electric, plita pe gaz, combina frigorifica, mobilier nou, executat pe comanda , cu multiple spatii de depozitare; - 2 grupuri sanitare; - Terasa; Vecinatati :Parcul Carol, Primaria sector 5 ,Autogara Filaret, acces facil catre mijlocele de transport in comun tereste, unitati bancare, farmacii, numeroase magazine alimentare etc. Pret 850 euro/luna (usor negociabil) Modalitate de inchiriere 1 luna avans + 2 luni garantie",https://www.olx.ro/d/oferta/duplex-de-inchiriat-etaje-5-si-6-2-camere-IDjVpKs.html,,
293208007,sale,apartment,64900,Bucuresti,Sectorul 2,44.45961,26.14911,31.0,1.0,1977.0,6.0,,unknown,unknown,,,"Garsoniera 31 mp, Soseaua Pantelimon 113, la 2 minute de LIDL, zona Marius. Statia RATB Baicului este la scara. Metroul Iancului este la 15 minute de mers pe jos de garsoniera. Mega Mall este la 10 minute de mers pe jos. Am atasat o harta cu distantele. Garsoniera este aproape de scoli, magazine, piete (Obor si Delfinului la 20-25 min de mers pe jos). Garsoniera a fost renovata in 2012. Renovarea a inclus mobilier la comanda pentru hol (dulap la comanda care foloseste eficient spatiul), renovarea completa a spatiului (inclusiv baia, inchiderea balconului). Blocul a fost recent izolat pe exterior. Se vinde mobilata si utilata (electrocasnicele sunt functionale dar ati putea lua in calcul sa le inlocuiti cu modele mai eficiente energetic). Garsoniera are aer conditionat instalat, incalzire de la retea, gaz, curent, internet prin fibra optica. Intrarea in scara este din Soseaua Pantelimon (acces rapid) dar garsoniera are geamurile spre spatele blocului (zona dintre blocuri, cu copaci si fara zgomotul de la Soseaua Pantelimon). Administratia blocului este competenta si implicata, reparatiile in bloc se fac la timp. Toate apartamentele din bloc au detectoare de gaze. Acest anunt este publicat de proprietar.",https://www.olx.ro/d/oferta/garsoniera-2-min-de-lidl-marius-profi-mega-statie-ratb-renovata-IDjQgNp.html,,
